title,year,genres
Lou,2022,"Action,Thriller,Drama"
A Quiet Place: Day One,2024,"Horror,Science Fiction,Thriller"
Redemption Day,2021,Action
Dory's Reef Cam,2020,"Family,Animation,Comedy,Adventure"
Shrek Forever After,2010,"Comedy,Adventure,Fantasy,Animation,Family"
Monster High: The Movie,2022,"Family,Fantasy,Comedy,Adventure,Music,TV Movie"
Room Salon College Girls 3,2020,"Romance,Action"
The Unbearable Weight of Massive Talent,2022,"Action,Comedy,Crime"
Why Women Cheat,2021,Romance
X,2022,"Horror,Mystery,Thriller"
The Matrix Resurrections,2021,"Science Fiction,Action,Adventure"
Dory's Reef Cam,2020,"Family,Animation,Comedy,Adventure"
Lift,2024,"Action,Comedy,Crime"
The Hangover,2009,Comedy
The Amazing Spider-Man 2,2014,"Action,Adventure,Fantasy"
One Way,2022,"Crime,Thriller"
The Day Naruto Became Hokage,2016,"Comedy,Animation,Action,Adventure"
Ant-Man,2015,"Science Fiction,Action,Adventure"
Code Name Banshee,2022,"Thriller,Action"
The Jack in the Box: Awakening,2022,Horror
Dragon Knight,2022,"Fantasy,Adventure,Action"
Lee Chaedam's G-Spot,2017,Romance
Alienoid,2022,"Science Fiction,Action,Fantasy,Adventure"
The Bad Guys,2022,"Animation,Action,Adventure,Crime,Comedy"
Ride Above,2022,"Drama,Comedy,Family"
The Chalk Line,2022,"Horror,Thriller,Mystery"
Jesus,2020,"Family,History,Music"
Last Man Down,2022,"Action,Thriller"
Spider-Man: Homecoming,2017,"Action,Adventure,Science Fiction,Drama"
Beau Is Afraid,2023,"Comedy,Adventure,Fantasy"
Warrior,2011,"Drama,Action"
Saltburn,2023,"Drama,Comedy,Thriller"
Top Gun,1986,"Action,Drama"
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure,Action,Fantasy"
Iron Man,2008,"Action,Science Fiction,Adventure"
The Color Purple,2023,"Music,Drama"
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2022,"Animation,Action,Fantasy"
Mad Max: Fury Road,2015,"Action,Adventure,Science Fiction"
Babylon,2022,"Drama,Comedy"
Pinocchio,2022,"Fantasy,Adventure,Family"
Prometheus,2012,"Science Fiction,Adventure,Mystery"
Inside Out,2015,"Animation,Family,Adventure,Drama,Comedy"
Finestkind,2023,"Crime,Drama,Thriller"
The Wolf of Wall Street,2013,"Crime,Drama,Comedy"
Love at First Kiss,2023,"Romance,Comedy"
Love Again,2023,"Romance,Drama,Comedy"
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Fantasy,Action"
BTS World Tour 'Love Yourself - Speak Yourself' London,2020,Music
May December,2023,"Drama,Comedy"
The Lion King,1994,"Family,Animation,Drama"
Thor: The Dark World,2013,"Action,Adventure,Fantasy"
